Cit_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
189,Mackay,-21.15,149.2,92.68,55,0,14.29,clear sky,22-02-11 03:10:54
190,Elbistan,38.2059,37.1983,19.42,83,19,2.8,few clouds,22-02-11 03:10:54
191,Ubala,4.7478,-72.5369,80.37,57,100,4.27,overcast clouds,22-02-11 03:08:37
192,Nanortalik,60.1432,-45.2371,26.94,64,100,4.56,overcast clouds,22-02-11 03:10:55
193,Punta Gorda,26.9298,-82.0454,61.99,67,0,8.01,clear sky,22-02-11 03:10:55
194,Merauke,-8.4667,140.3333,86.95,58,54,3.02,broken clouds,22-02-11 03:10:56
195,Norman Wells,65.282,-126.8329,-2.47,81,39,5.91,scattered clouds,22-02-11 03:10:56
196,Sinnamary,5.3833,-52.95,75.69,90,80,9.33,broken clouds,22-02-11 03:10:57
197,Mahebourg,-20.4081,57.7,79.25,81,9,6.31,light rain,22-02-11 03:10:57
198,Baghdad,33.3406,44.4009,44.51,70,2,3.44,clear sky,22-02-11 03:06:05
199,Cabo San Lucas,22.8909,-109.9124,68.31,72,20,0.0,few clouds,22-02-11 03:09:23
200,Kharitonovo,61.4009,47.4978,20.08,93,100,7.99,overcast clouds,22-02-11 03:10:58
201,Verkhnevilyuysk,63.4453,120.3167,-17.64,94,39,3.02,scattered clouds,22-02-11 03:10:58
202,Nisia Floresta,-6.0911,-35.2086,79.61,83,13,5.08,few clouds,22-02-11 03:10:59
203,Oranjestad,12.524,-70.027,78.94,80,55,22.17,broken clouds,22-02-11 03:10:59
204,Turayf,31.6725,38.6637,38.35,92,12,7.23,few clouds,22-02-11 03:11:00
205,Mana,5.6592,-53.7767,75.69,89,87,8.86,overcast clouds,22-02-11 03:11:00
206,Vila Do Maio,15.1333,-23.2167,74.19,75,99,12.71,overcast clouds,22-02-11 03:11:01
207,Riachao Das Neves,-11.7461,-44.91,70.07,85,75,3.31,light rain,22-02-11 03:11:01
208,Chifeng,42.2683,118.9636,23.79,35,3,5.48,clear sky,22-02-11 03:11:01
209,Kaitangata,-46.2817,169.8464,67.93,74,18,7.78,few clouds,22-02-11 03:11:02
